survey_year,respondent_no,개인 업무 특성_독립,개인 업무 특성_협업,내 자리 업무 행태,내 자리 업무 행태_1순위,내 자리 업무 행태_2순위,내 자리 업무 행태_3순위,내 자리 업무 행태__기타_텍스트,생산성이 증대되는 업무 장소,생산성이 증대되는 업무 장소__기타_텍스트,커뮤니케이션 행태,커뮤니케이션 행태_1순위,커뮤니케이션 행태_2순위,커뮤니케이션 행태_3순위,커뮤니케이션 행태__기타_텍스트,회의 횟수,회의 시간,회의 규모,회의 규모_1순위,회의 규모_2순위,회의 규모_3순위,업무 외 활동 니즈,업무 외 활동 니즈_1순위,업무 외 활동 니즈_2순위,업무 외 활동 니즈_3순위,업무 외 활동 니즈__기타_텍스트,오피스 경험 인식_기능 공간,오피스 경험 인식_생활 공간,사무환경 만족도_종합,사무환경 만족도_직원 배려,사무환경 만족도_업무 효율,사무환경 만족도_유연,사무환경 만족도_수평,조직문화 만족도_유연,조직문화 만족도_친밀함,조직문화 만족도_동기부여,조직문화 만족도_자율,조직문화 만족도_워라밸,커피를 마시며 동료와 대화,우연한 만남을 통한 가벼운 커뮤니케이션,필요에 맞게 자율적으로 일 할 공간을 선택,재충전을 위한 개인 휴식,필요에 맞게 협업 공간 선택,팀원 또는 유관 팀과 정기적 회의,서로의 작업 진행 상황과 정보를 공유,팀원 또는 유관 팀과 간단한 캐주얼 회의,혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동,업무 중 상급자와 부담없이 소통,통화나 회의로 발생하는 소음을 최소화,직급/직책에 관계없이 의견 개진 및 다양한 직급/직책간 상호 교류
2025,43,40,60,1|4|2,1,4,2,,1,,3|2|5,3,2,5,,2,2,1|2|3,1,2,3,2|7|8,2,7,8,,5,5,1,1,1,1,1,1,3,1,1,3,4,5,2,1,2,2,3,4,1,4,1,4
2025,44,80,20,4|1|2,4,1,2,,2,,1|5|4,1,5,4,,4,3,1|2|3,1,2,3,2|9|7,2,9,7,,5,2,3,1,2,1,2,1,4,3,3,3,4,5,1,3,3,2,5,2,1,4,1,1
2025,45,70,30,1|4|2,1,4,2,,2,,3|1|5,3,1,5,,2,2,1|3|4,1,3,4,1|8|9,1,8,9,,4,4,3,3,3,4,4,3,4,4,4,4,4,3,3,2,3,4,4,5,2,6,2,6
2025,46,80,20,1|2|4,1,2,4,,1,,3|1|2,3,1,2,,2,2,1|2|3,1,2,3,1|4|7,1,4,7,,5,4,3,3,2,2,2,2,4,3,3,3,3,3,2,1,3,3,3,4,1,3,2,4
2025,47,80,20,2|1|4,2,1,4,,1,,3|5|1,3,5,1,,2,3,2|1|3,2,1,3,8|1|4,8,1,4,,5,5,5,1,1,5,5,1,5,1,5,5,7,7,1,1,1,1,1,7,1,7,1,7
2025,48,70,30,1|4|2,1,4,2,,1,,1|3|2,1,3,2,,3,3,1|2|3,1,2,3,1|7|9,1,7,9,,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2
2025,49,80,20,1|2|4,1,2,4,,2,,2|1|4,2,1,4,,2,2,2|1|3,2,1,3,2|5|8,2,5,8,,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6
2025,50,70,30,1|4|2,1,4,2,,1,,1|5|4,1,5,4,,2,3,2|1|3,2,1,3,1|7|8,1,7,8,,4,2,4,2,3,2,3,2,3,2,3,3,2,2,2,2,2,5,5,5,2,2,2,2
2025,51,90,10,1|4|2,1,4,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,52,40,60,4|2|1,4,2,1,,4,,5|1|2,5,1,2,,3,3,2|1|3,2,1,3,9|6|7,9,6,7,,4,4,2,1,2,1,1,2,3,2,1,2,3,1,3,2,2,4,1,3,1,3,1,2
2025,53,60,40,2|4|1,2,4,1,,2,,1|5|3,1,5,3,,2,3,1|2|3,1,2,3,1|7|3,1,7,3,,3,4,1,2,2,2,2,1,3,2,3,2,1,2,2,1,1,2,2,2,1,2,2,2
