category_1,category_2,question_label,question_full,formula
일하는 경험,오피스에서 하는 행동,혼자서 창의적인 아이디어 구상하기,지난 한 달 동안 오피스에서 ‘혼자 창의적인 아이디어를 구상하는 일’ 을 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,혼자서 복잡한 내용 분석하고 정리하기,지난 한 달 동안 오피스에서 ‘혼자 복잡한 내용을 분석하고 정리하는 일’ 을 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,혼자서 기분 전환/휴식을 위해 리프레시하기,지난 한 달 동안 오피스에서 ‘기분 전환/휴식을 위한 리프레시’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,리더에게 업무 보고하기,지난 한 달 동안 오피스에서 ‘리더에게 업무 보고’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,리더와 자유롭게 논의하기,지난 한 달 동안 오피스에서 ‘리더와의 자유로운 업무 논의’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,리더와 편안한 스몰 토크 나누기,지난 한 달 동안 오피스에서 ‘리더와의 편안한 스몰 토크’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,리더와 업무 관련 1:1 대화 나누기,지난 한 달 동안 오피스에서 ‘리더와의 업무 관련 1:1 대화’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,팀원(들)에게 업무 공유하기,지난 한 달 동안 오피스에서 ‘팀원(들)에게 업무 공유’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,팀원(들)과 자유롭게 논의하기,지난 한 달 동안 오피스에서 ‘팀원(들)과의 자유로운 업무 논의’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,팀원(들)과 편안한 스몰 토크 나누기,지난 한 달 동안 오피스에서 ‘팀원(들)과의 편안한 스몰 토크’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,팀원과 업무 관련 1:1 대화 나누기,지난 한 달 동안 오피스에서 ‘팀원(들)과의 업무 관련 1:1 대화’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,팀원 외 구성원과 편안한 스몰 토크 나누기,지난 한 달 동안 오피스에서 ‘팀원 외 구성원과 편안한 스몰 토크’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,팀원 외 구성원과 업무 관련 1:1 대화 나누기,지난 한 달 동안 오피스에서 ‘팀원 외 구성원과 업무 관련 1:1 대화’ 를 얼마나 자주 하셨나요?, 
일하는 경험,오피스에서 하는 행동,팀원 외 구성원과 만나는 이벤트/행사 참석하기,지난 한 달 동안 오피스에서 ‘팀원 외 구성원과 만날 수 있는 이벤트/행사’ 에 얼마나 자주 참석하셨나요?, 
일하는 경험,일할 때 느끼는 기분,주의 (Attentive),지난 일주일 동안 일할 때 ‘주의 깊은’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,일할 때 느끼는 기분,흥미 (Interested),지난 일주일 동안 일할 때 ‘흥미로운’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,일할 때 느끼는 기분,열정 (Enthusiastic),지난 일주일 동안 일할 때 ‘열정적인’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,일할 때 느끼는 기분,영감 (Inspired),지난 일주일 동안 일할 때 ‘영감을 받은’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,일할 때 느끼는 기분,활기 (Active),지난 일주일 동안 일할 때 ‘활기찬’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,일할 때 느끼는 기분,괴로움 (Distressed),지난 일주일 동안 일할 때 ‘괴로운’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,일할 때 느끼는 기분,분노 (Upset),지난 일주일 동안 일할 때 ‘화가 나는’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,일할 때 느끼는 기분,짜증 (Irritable),지난 일주일 동안 일할 때 ‘짜증나는’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,일할 때 느끼는 기분,두려움 (Afraid),지난 일주일 동안 일할 때 ‘두려운’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,일할 때 느끼는 기분,긴장 (Nervous),지난 일주일 동안 일할 때 ‘긴장되는’ 기분을 얼마나 느끼셨나요?, 
일하는 경험,조직의 문화적 분위기,자리를 떠나 일해도 되는 분위기,우리 회사는 구성원들이 업무 시간에 자리를 떠나 다른 공간에서 일해도 눈치 주지 않는 분위기인가요?, 
일하는 경험,조직의 문화적 분위기,다양성이 존중되는 분위기,우리 회사는 구성원들의 각기 다른 업무 성향과 일하는 방식을 존중하나요?, 
일하는 경험,조직의 문화적 분위기,개인의 상황을 배려하는 분위기,우리 회사는 업무가 긴박한 상황에서도 구성원들의 개인적인 상황과 컨디션을 배려하나요?, 
일하는 경험,조직의 문화적 분위기,수평적으로 소통하는 분위기,우리 회사에서는 역할/직책에 관계 없이 누구나 의견을 자유롭게 제시하나요?, 
일하는 경험,조직의 문화적 분위기,정제되지 않은 생각부터 나누는 분위기,우리 회사의 구성원들은 완벽하지 않은 아이디어도 스스럼없이 공유하나요?, 
일하는 경험,조직의 문화적 분위기,문제를 솔직하게 꺼내는 분위기,우리 회사의 구성원들은 크고 작은 문제에 대해서 거리낌 없이 솔직하게 이야기하나요?, 
일하는 경험,조직의 문화적 분위기,서로 친하게 지내는 분위기,우리 회사의 구성원들은 서로 잘 알고 지내며 친밀하게 어울리나요?, 
일하는 경험,조직의 문화적 분위기,목표와 방향을 맞춰 가는 분위기,우리 회사의 구성원들은 서로 다른 역할을 수행하면서도 큰 목표와 방향을 함께 논의하고 조율하나요?, 
일하는 경험,조직의 문화적 분위기,전문성과 강점을 신뢰하는 분위기,우리 회사의 구성원들은 서로의 전문성과 강점을 깊이 이해하고 신뢰하나요?, 
일하는 경험,조직의 핵심 가치/비전에 대한 인식,조직의 핵심 가치/비전을 알고 있음,우리 회사의 핵심 가치/비전이 무엇인지 알고 있나요? (문장이나 단어로 표현할 수 있나요?), 
일하는 경험,조직의 핵심 가치/비전에 대한 인식,조직의 핵심 가치/비전에 공감함,"우리 회사의 핵심 가치/비전에 개인적으로 공감하며, 실제로 중요하다고 생각하나요?", 
일하는 경험,조직의 핵심 가치/비전에 대한 인식,조직의 핵심 가치/비전을 실천하고 있음,우리 회사의 핵심 가치/비전을 일하면서 실천하고 있나요?, 
일하는 경험,심리적 임파워먼트,의미-1,내가 하는 업무는 나에게 매우 중요하다., 
일하는 경험,심리적 임파워먼트,의미-2,나의 업무와 관련된 활동은 나에게 개인적으로 의미가 있는 일이다., 
일하는 경험,심리적 임파워먼트,의미-3,내가 하는 업무는 나에게 가치가 있다., 
일하는 경험,심리적 임파워먼트,유능성-1,나는 나의 업무 수행에 자신감을 갖고 있다., 
일하는 경험,심리적 임파워먼트,유능성-2,나는 나의 업무를 수행하는데 필요한 기술과 지식을 가지고 있다., 
일하는 경험,심리적 임파워먼트,유능성-3,나는 나의 업무 수행 능력에 대하여 스스로 확신을 갖고 있다., 
일하는 경험,심리적 임파워먼트,자기결정감-1,나는 나의 업무를 수행할 방법을 결정하는데 자율성을 가지고 있다., 
일하는 경험,심리적 임파워먼트,자기결정감-2,나는 나의 업무를 처리할 방법을 스스로 결정할 수 있다., 
일하는 경험,심리적 임파워먼트,자기결정감-3,나에게는 독립성과 자유를 갖고 업무를 수행할 수 있는 기회가 충분히 주어진다., 
일하는 경험,심리적 임파워먼트,영향력-1,나의 부서에서 나의 영향력은 크다., 
일하는 경험,심리적 임파워먼트,영향력-2,나는 나의 부서에서 일어나는 일을 상당히 통제할 수 있다., 
일하는 경험,심리적 임파워먼트,영향력-3,나는 나의 부서에서 일어나는 일에 있어서 상당한 영향력을 가지고 있다., 
일하는 경험,심리적 임파워먼트,의미 평균,심리적 임파워먼트_의미(의미 있는 일을 하고 있다는 느낌),"의미-1, 의미-2, 의미-3의 평균값"
일하는 경험,심리적 임파워먼트,유능성 평균,심리적 임파워먼트_유능성(맡은 일을 잘 해낼 수 있다는 느낌),"유능성-1, 유능성-2, 유능성-3의 평균값"
일하는 경험,심리적 임파워먼트,자기결정감 평균,심리적 임파워먼트_자기결정감(스스로 선택하고 결정할 수 있다는 느낌),"자기결정감-1, 자기결정감-2, 자기결정감-3의 평균값"
일하는 경험,심리적 임파워먼트,영향력 평균,심리적 임파워먼트_영향력(회사에 긍정적 영향을 주고 있다는 느낌),"영향력-1, 영향력-2, 영향력-3의 평균값"
일하는 경험,심리적 임파워먼트,심리적 임파워먼트 평균,심리적 임파워먼트(일에 대해 의미와 자신감을 느끼며 역량을 발휘하고 있는 마음 상태),"의미-1, 의미-2, 의미-3, 유능성-1, 유능성-2, 유능성-3, 자기결정감-1, 자기결정감-2, 자기결정감-3, 영향력-1, 영향력-2, 영향력-3의 평균값"
일하는 공간,개인 업무 공간,현재 좌석 운영 방식 (고정/자율),현재 오피스의 좌석 운영 방식은 무엇인가요?, 
일하는 공간,개인 업무 공간,선호하는 좌석 운영 방식 (고정/자율),다음 중 귀하께서 더 선호하는 좌석 운영 방식을 선택해 주세요., 
일하는 공간,개인 업무 공간,개인 좌석 - 주변 시선 차단 여부,"내 자리에 앉아 있을 때, 주변의 시선이 적절히 차단되나요?", 
일하는 공간,개인 업무 공간,개인 좌석 - 주변 소음 차단 여부,"내 자리에 앉아 있을 때, 주변 소음이 적절히 차단되나요?", 
일하는 공간,개인 업무 공간,개인 좌석 - 책상/의자 조절 가능 여부,내 자리의 책상/의자를 몸에 맞게 조절할 수 있나요?, 
일하는 공간,개인 업무 공간,개인 좌석 - 자연광 접촉 가능 여부,내 자리로 자연광이 충분히 들어오나요?, 
일하는 공간,개인 업무 공간,업무층 환경 - 밀도가 적절한가,내가 일하는 업무층은 밀도가 쾌적한가요?, 
일하는 공간,개인 업무 공간,업무층 환경 - 조도/밝기가 적절한가,내가 일하는 업무층은 조도/밝기가 적절한가요?, 
일하는 공간,개인 업무 공간,업무층 환경 - 식물/플랜테리어가 조성되어 있는가,내가 일하는 업무층은 식물/플랜테리어가 적절히 조성되어 있나요?, 
일하는 공간,개인 업무 공간,업무층 환경 - 좌석 형태/구성이 다양한가,내가 일하는 업무층은 좌석의 형태와 구성이 다양한 편인가요?, 
일하는 공간,리더 업무 공간,직원들과 가까운 곳에 있는가,리더(들)의 업무 공간은 일반 구성원들의 업무 공간과 물리적으로 가까운가요?, 
일하는 공간,리더 업무 공간,직원들에게 시각적으로 열려 있는가,리더(들)의 업무 공간은 일반 구성원들에게 시각적으로 개방되어 있나요?, 
일하는 공간,리더 업무 공간,회의 가구나 장비가 있는가,"리더(들)의 업무 공간에 회의 장비 및 가구가 적절히 마련되어 있나요? (디스플레이, 화이트보드, 보조 소파/의자 등)", 
일하는 공간,리더 업무 공간,위계감을 덜어주는 편안한 분위기인가,리더(들)의 업무 공간은 위계감이 덜 느껴지는 편안한 분위기인가요?, 
일하는 공간,회의/협업 공간,소규모 회의 공간(2-4인 규모)이 적절히 계획됐는가,회사에 소규모 회의 공간(2-4인 규모)이 적절히 계획되어 있나요?, 
일하는 공간,회의/협업 공간,중규모 회의 공간(5-8인 규모)이 적절히 계획됐는가,회사에 중규모 회의 공간(5-8인 규모)이 적절히 계획되어 있나요?, 
일하는 공간,회의/협업 공간,대규모 회의 공간(9인 이상)이 적절히 계획됐는가,회사에 대규모 회의 공간(9인 이상)이 적절히 계획되어 있나요?, 
일하는 공간,회의/협업 공간,아이디어를 그림/판서로 표현할 수 있는가,"회의/협업 공간에 아이디어 비주얼라이제이션 툴*이 적절히 갖춰져 있나요? (*그림, 판서 등이 가능한 도구)", 
일하는 공간,회의/협업 공간,긴장감을 덜어주는 편안한 분위기인가,회의/협업 공간은 긴장감을 덜어주는 편안한 분위기인가요?, 
일하는 공간,회의/협업 공간,예약 없이 사용할 수 있는 회의 공간이 있는가,예약 없이 바로 사용할 수 있는 회의 공간이 적절히 계획되어 있나요?, 
일하는 공간,회의/협업 공간,그룹(팀/TF) 전용 협업 공간이 있는가,"팀/TF 구성원끼리 일정 기간 모여서 일하는 그룹 전용 협업 공간이 적절히 계획되어 있나요? (단, 일반 회의실을 점유하는 경우는 제외)", 
일하는 공간,라운지,라운지 계획 여부,귀하의 오피스에는 라운지(또는 공용공간)이 마련되어 있나요?, 
일하는 공간,라운지,다양한 사람이 접근하기 쉬운 위치에 있는가,라운지가 다양한 팀/부서에서 접근하기 쉬운 위치에 있나요?, 
일하는 공간,라운지,"커피, 간식 등 식음 요소가 있는가","라운지에서 커피, 간식 등을 즐길 수 있나요?", 
일하는 공간,라운지,다인원 이벤트/행사를 할 수 있는가,라운지가 다인원 이벤트/행사를 수용할 수 있는 규모/시설을 갖추고 있나요?, 
일하는 공간,라운지,주변 시선/소음이 가려지는 대화 공간이 있는가,라운지에 주변 시선과 소음이 가려지는 프라이빗한 대화 공간이 적절히 계획되어 있나요?, 
일하는 공간,라운지,심미적으로 아름답게 디자인되어 있는가,라운지에서 시각적 아름다움/심미적 만족감을 느낄 수 있나요?, 
일하는 공간,라운지,회사의 아이덴티티를 느낄 수 있는가,"라운지에서 회사의 아이덴티티/정체성을 느낄 수 있나요? (BI/CI가 적용된 디자인 무드, 로고, 사이니지 등)", 
일하는 공간,지원 공간,자리를 떠나 일할 수 있는 ‘프라이빗한’ 공간이 있는가,회사에 내 자리를 떠나 일할 수 있는 프라이빗한 업무 공간*이 있나요?  (*포커스룸 등 주변으로부터 방해받지 않고 일할 수 있는 곳), 
일하는 공간,지원 공간,자리를 떠나 일할 수 있는 ‘오픈된’ 공간이 있는가,"회사에 내 자리를 떠나 일할 수 있는, 오픈된 업무 공간*이 있나요?  (*워크 라운지 등 캐주얼한 분위기에서 일할 수 있는 곳)", 
일하는 공간,지원 공간,개인 휴식 공간,회사에 조용히 혼자 쉴 수 있는 휴식 공간이 계획되어 있나요?, 
일하는 공간,지원 공간,"옥외 공간 (테라스, 산책로 등)","회사에 테라스, 산책로 등의 옥외 공간이 계획되어 있나요?", 
일하는 공간,조직 문화를 반영한 오피스에 대한 인식,조직 문화를 반영한 오피스의 긍정적 효과,조직 문화와 핵심 가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 보기를 모두 선택해주세요., 
